intStrNumeroStruttura;Categoria;Classification;vchStrDenominazione;vchStrIstat;DESCRIZIONE;CAP;Indir;Gestore;City;localita;vchStrTel;vchStrTelefax;vchStrCellulare;vchStrWebAddress;vchStrEmail;Longitude_X;Latitude_Y;ISTAT6
16280;STABILIMENTI BALNEARI;Stabilimenti Balneari;RINA E GIULIANA;;;;;;;;;;;;;;;
16918;BED & BREAKFAST;BedBreakfast;B&B IN RIVA AL MARE;;;;;;;;;;;;;;;
17435;BED & BREAKFAST;BedBreakfast;B&B OASI SALOMONE;;;;;;;;;;;;;;;
17190;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;MARCHEHOLIDAY - CASALE DEGLI ULIVI;041001;ACQUALAGNA;61041;strada San Gregorio 1;ENRICO GRASSI;ACQUALAGNA;loc.Ca Donnino;0721 1836666;0721 1830153;338 4083136;www.marcheholiday.it/ulivi;info@marcheholiday.it;12.674;43.63;041001
16978;ALTRI ALLOGGI PRIVATI;Appartamenti Ammobiliati uso turistico (Art. 32 Ð T.U.);SERAFINI GIORGIA;041001;ACQUALAGNA;61041;;GIORGIA SERAFINI;ACQUALAGNA;;;;;;;;;041001
16998;ALTRI ALLOGGI PRIVATI;Appartamenti Ammobiliati uso turistico (Art. 32 Ð T.U.);BETTI VINCENZO;041001;ACQUALAGNA;61041;via Pole 69;VINCENZO BETTI;ACQUALAGNA;;0721797073;;;;;;;041001
16548;ALBERGHI;Alberghi 2 stelle;LEON D'ORO;041001;ACQUALAGNA;61041;via Flaminia 213;ELISEO LIGI;ACQUALAGNA;;0721 797503;;;;ligi.eliseo@email.it;;;041001
16770;ALLOGGI AGRITURISTICI;Agriturismi;LA COLOMBARA;041001;ACQUALAGNA;61041;strada Frontino 24;IVANA CANDIRACCI;ACQUALAGNA;;;;3396484971;;;;;041001
16277;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO I CONTI;041001;ACQUALAGNA;61041;via Pieve del Colle 11 b;PIERPAOLO DURANTI;ACQUALAGNA;;;;"328 5399473; 349 5796001";www.agriturismoiconti.it;info@agriturismoiconti.it;;;041001
14685;ALTRI ALLOGGI PRIVATI;Appartamenti Ammobiliati uso turistico (Art. 32 Ð T.U.);IL CONIO DI DI GIOVANNI FEDERICO;041001;ACQUALAGNA;61041;strada pietralatra 1;FEDERICO DI GIOVANNI;ACQUALAGNA;ACQUALAGNA;;;;;;12.6925;43.6417;041001
