DENOMINAZIONE,INDIRIZZO,COMUNE,LOCALITA,SITO WEB,_INDIRIZZO,Position,APERTO
PARCO ARCHEOLOGICO DELLA NECROPOLI DI FOSSA, Via della Stazione,Fossa (AQ) - 67020,San Lorenzo,www.comunedifossa.it,"Italia, Fossa (AQ) - 67020,  Via della Stazione","42.2985967,13.4913863",SI
ALBA FUCENS, ,Massa d'Albe (AQ) - 67050,Località Albe,http://www.archeoabruzzo.beniculturali.it,"Italia, Massa d'Albe (AQ) - 67050,  ","42.1119291,13.3892985",SI
AREA ARCHEOLOGICA AMITERNUM,Frazione S.Vittorino,L'Aquila (AQ) - 67010, ,http://www.archeoabruzzo.beniculturali.it,"Italia, L'Aquila (AQ) - 67010, Frazione S.Vittorino","42.396844,13.314667",SI
CASA NATALE DI GABRIELE D'ANNUNZIO,"Corso Manthonè,116",Pescara (PE) - 65127, ,http://www.casadannunzio.beniculturali.it/,"Italia, Pescara (PE) - 65127, Corso Manthonè,116","42.46105,14.21191",SI
CHIESA DI SAN BARTOLOMEO,A25 Uscita Torre de' Passeri,Carpineto della Nora (PE) - 65010, ,,"Italia, Carpineto della Nora (PE) - 65010, A25 Uscita Torre de' Passeri","42.3336973,13.8601416",SI
CHIESA DI SAN DOMENICO AL CORSO,Corso Marriccino,Chieti (CH) - 66100, ,,"Italia, Chieti (CH) - 66100, Corso Marriccino","42.3492176,14.1665915",SI
CHIESA DI SAN PIETRO,Alba Fucens,Massa d'Albe (AQ) - 67050, ,,"Italia, Massa d'Albe (AQ) - 67050, Alba Fucens","42.0799247,13.4095707",SI
CHIESA SAN PIETRO AD ORATORIUM,Località Bivio Capodacqua incrocio con Colle S. Giacomo Capestrano,Capestrano (AQ) - 67022, ,,"Italia, Capestrano (AQ) - 67022, Località Bivio Capodacqua incrocio con Colle S. Giacomo Capestrano","42.2674591,13.7677484",SI
MUSÈ - NUOVO MUSEO PALUDI DI CELANO - CENTRO DI RESTAURO,località Paludi,Celano (AQ) - 67043, ,http://www.musepaludi.it/,"Italia, Celano (AQ) - 67043, località Paludi","42.08225119999999,13.5429874",Si
"MUSEO ARCHEOLOGICO \""LA CIVITELLA\","Via G.Pianell,1",Chieti (CH) - 66100, ,http://www.archeoabruzzo.beniculturali.it/lacivitella.html,"Italia, Chieti (CH) - 66100, Via G.Pianell,1","42.34496439999999,14.1619215",SI
MUSEO ARCHEOLOGICO NAZIONALE,P.zza S.Francesco,Campli (TE) - 64012, ,http://www.archeoabruzzo.beniculturali.it/campli1.html,"Italia, Campli (TE) - 64012, P.zza S.Francesco","42.7702282,13.6784593",SI
MUSEO ARCHEOLOGICO NAZIONALE D'ABRUZZO - VILLA FRIGERJ,"Via G.Costanzi, 3 - Villa Comunale",Chieti (CH) - 66100, ,http://www.archeoabruzzo.beniculturali.it/manda1.html,"Italia, Chieti (CH) - 66100, Via G.Costanzi, 3 - Villa Comunale","42.347886,14.1635845",SI
MUSEO D'ARTE SACRA DELLA MARSICA (CASTELLO PICCOLOMINI),Largo Cavalieri di Vittorio Veneto,Celano (AQ) - 67043, ,http://www.museodellamarsica.beniculturali.it,"Italia, Celano (AQ) - 67043, Largo Cavalieri di Vittorio Veneto","42.0845,13.5455",SI
PARCO ARCHEOLOGICO DI IUVANUM,Località Santa Maria del Palazzo,Montenerodomo (CH) - 66010, ,http://www.abruzzo.beniculturali.it/,"Italia, Montenerodomo (CH) - 66010, Località Santa Maria del Palazzo","42.3629059,14.1461114",SI
TAVERNA DUCALE,"Via Garibaldi, 13",Popoli (PE) - 65026, ,http://www.tavernaducalepopoli.beniculturali.it/,"Italia, Popoli (PE) - 65026, Via Garibaldi, 13","42.174397,13.83303",SI
TEATE - RESTI DELLA CITTA' ROMANA,via delle Terme Romane,Chieti (CH) - 66100,Fonte Grande,,"Italia, Chieti (CH) - 66100, via delle Terme Romane","42.3468323,14.1685436",SI
